Car Id.,Speed,Timestamp
4,30,1.3333333333333333
3,26,1.4333333333333333
8,67,2.033333333333333
5,64,3.7333333333333334
16,8,4.2
21,130,7.066666666666666
19,59,7.066666666666666
24,38,7.066666666666666
28,24,8.4
29,4,9.433333333333334
34,8,9.433333333333334
36,48,10.066666666666666
35,67,10.133333333333333
44,133,12.2
51,126,12.8
53,33,13.933333333333334
40,78,13.933333333333334
52,43,13.933333333333334
66,65,16.4
64,47,16.7
71,36,16.566666666666666
76,13,19.133333333333333
65,28,19.133333333333333
70,6,19.133333333333333
